ID,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
4437,67,male,2,own,Rich,little,1169,6,radio/TV
9543,22,female,2,own,little,moderate,5951,48,radio/TV
8489,49,male,1,own,little,Moderate,2096,12,education
4870,45,male,2,free,little,little,7882,42,furniture/equipment
5317,53,male,2,free,little,little,4870,24,car
9473,35,male,1,free,Moderate,Moderate,9055,36,education
4703,53,male,2,own,quite rich,Rich,2835,24,furniture/equipment
6034,35,male,3,rent,little,moderate,6948,36,car
8391,61,male,1,own,rich,Moderate,3059,12,radio/TV
1006,28,male,3,own,little,moderate,5234,30,car
7252,25,female,2,rent,little,moderate,1295,12,car
1906,24,female,2,rent,little,little,4308,48,business
2794,22,female,2,own,little,moderate,1567,12,radio/TV
9366,60,male,1,own,little,little,1199,24,car
8794,28,female,2,rent,little,little,1403,15,car
9501,32,female,1,own,moderate,little,1282,24,radio/TV
7385,53,male,2,own,Rich,Rich,2424,24,radio/TV
4203,25,male,2,own,Rich,little,8072,30,business
1767,44,female,3,free,little,moderate,12579,24,car
3350,31,male,2,own,quite rich,Rich,3430,24,radio/TV
3449,48,male,2,own,little,Rich,2134,9,car
1834,44,male,2,rent,quite rich,little,2647,6,radio/TV
3456,48,male,1,rent,little,little,2241,10,car
5398,44,male,2,own,moderate,moderate,1804,12,car
6668,26,male,2,own,Rich,Rich,2069,10,furniture/equipment
6717,36,male,1,own,little,little,1374,6,furniture/equipment
6275,39,male,1,own,little,Moderate,426,6,radio/TV
4020,42,female,2,rent,rich,rich,409,12,radio/TV
8363,34,male,2,own,little,moderate,2415,7,radio/TV
1792,63,male,2,own,little,little,6836,60,business
6232,36,male,2,own,rich,moderate,1913,18,business
7638,27,male,2,own,little,little,4020,24,furniture/equipment
4315,30,male,2,own,moderate,moderate,5866,18,car
2518,57,male,1,rent,Moderate,Moderate,1264,12,business
4363,33,female,3,own,little,rich,1474,12,furniture/equipment
2296,25,male,1,own,little,moderate,4746,45,radio/TV
9096,31,male,2,free,little,little,6110,48,education
6341,37,male,2,own,little,rich,2100,18,radio/TV
2459,37,male,2,own,little,rich,1225,10,domestic appliances
8248,24,male,2,own,little,moderate,458,9,radio/TV
2368,30,male,3,own,quite rich,Rich,2333,30,radio/TV
5380,26,male,2,own,quite rich,moderate,1158,12,radio/TV
1893,44,male,1,own,little,moderate,6204,18,repairs
5985,24,male,2,rent,moderate,little,6187,30,car
2822,58,female,1,free,little,little,6143,48,car
3682,35,female,3,own,little,Rich,1393,11,car
1289,39,male,2,own,quite rich,Rich,2299,36,radio/TV
1078,23,female,0,rent,quite rich,little,1352,6,car
1772,39,male,1,own,little,Moderate,7228,11,car
9544,28,female,2,own,moderate,Rich,2073,12,radio/TV
8533,29,male,1,own,Moderate,moderate,2333,24,furniture/equipment
4503,30,male,3,own,little,moderate,5965,27,car
4538,25,male,2,own,little,Rich,1262,12,radio/TV
9226,31,male,2,own,Rich,Rich,3378,18,car
8301,57,male,2,free,little,moderate,2225,36,car
8916,26,male,1,own,Moderate,Moderate,783,6,car
6590,52,male,3,own,Rich,moderate,6468,12,radio/TV
8769,31,female,2,own,little,Rich,9566,36,radio/TV
7012,23,female,3,own,little,rich,1961,18,car
5121,23,female,1,rent,little,little,6229,36,furniture/equipment
3673,27,male,2,own,little,moderate,1391,9,business
7410,50,male,2,own,Rich,moderate,1537,15,radio/TV
5972,61,male,3,free,little,moderate,1953,36,business
5525,25,male,2,own,little,moderate,14421,48,business
7534,26,female,2,own,little,Rich,3181,24,radio/TV
6939,48,male,2,own,Rich,Rich,5190,27,repairs
6401,29,female,2,own,little,Rich,2171,12,radio/TV
5097,22,male,2,own,rich,moderate,1007,12,car
9541,37,male,2,free,little,little,1819,36,education
4458,25,female,2,own,Rich,Rich,2394,36,radio/TV
5537,30,female,2,own,little,Rich,8133,36,car
3564,46,male,1,rent,Moderate,Moderate,730,7,radio/TV
5249,51,male,3,free,little,little,1164,8,vacation/others
9135,41,female,1,own,little,moderate,5954,42,business
2763,40,male,3,own,Rich,little,1977,36,education
8283,66,male,3,free,little,little,1526,12,car
6037,34,male,2,own,little,little,3965,42,radio/TV
1648,51,male,2,own,little,moderate,4771,11,radio/TV
1113,39,male,1,own,Moderate,Moderate,9436,54,car
4252,22,male,2,own,little,moderate,3832,30,furniture/equipment
4452,44,female,2,own,Rich,Rich,5943,24,radio/TV
9177,47,male,2,own,quite rich,Rich,1213,15,radio/TV
9071,24,female,1,rent,moderate,Moderate,1568,18,business
1684,58,female,1,own,little,little,1755,24,vacation/others
6073,52,male,1,own,little,little,2315,10,radio/TV
1204,29,female,3,own,little,Rich,1412,12,business
6463,27,female,2,own,little,moderate,1295,18,furniture/equipment
5206,47,male,2,free,moderate,moderate,12612,36,education
1365,30,male,3,own,moderate,little,2249,18,car
6259,28,male,2,own,little,little,1108,12,repairs
8904,56,male,2,own,little,Rich,618,12,radio/TV
6114,54,male,2,own,little,little,1409,12,car
3539,33,female,1,own,Moderate,Moderate,797,12,radio/TV
5717,20,male,2,rent,little,rich,3617,24,furniture/equipment
1552,54,male,2,own,rich,moderate,1318,12,car
5331,58,male,2,rent,little,moderate,15945,54,business
9800,61,female,2,own,Rich,Rich,2012,12,education
1473,34,male,2,own,moderate,moderate,2622,18,business
4074,36,male,2,own,little,moderate,2337,36,radio/TV
2162,36,male,3,rent,little,moderate,7057,20,car
6831,41,male,1,rent,moderate,Moderate,1469,24,car
9356,24,male,2,rent,little,moderate,2323,36,radio/TV
6963,24,female,2,own,little,Rich,932,6,radio/TV
9281,35,male,2,rent,little,moderate,1919,9,furniture/equipment
2726,26,male,2,rent,little,little,2445,12,car
4909,39,male,3,own,little,moderate,11938,24,vacation/others
6810,39,male,3,own,little,Rich,6458,18,car
7203,32,male,2,own,little,moderate,6078,12,car
2846,30,female,2,own,Rich,little,7721,24,furniture/equipment
6957,35,male,2,own,quite rich,moderate,1410,14,business
7822,31,male,2,own,moderate,moderate,1449,6,business
7454,23,female,2,rent,little,rich,392,15,education
9220,28,male,1,rent,little,moderate,6260,18,car
1549,25,female,2,own,little,Rich,7855,36,car
4166,35,male,2,own,quite rich,little,1680,12,radio/TV
8731,47,male,2,own,Rich,Rich,3578,48,radio/TV
9499,30,female,3,own,Rich,little,7174,42,radio/TV
7452,27,female,2,rent,little,little,2132,10,furniture/equipment
2039,23,female,2,own,quite rich,little,4281,33,furniture/equipment
9547,36,male,3,own,quite rich,moderate,2366,12,car
2668,25,female,2,own,little,little,1835,21,radio/TV
5743,41,female,3,rent,little,little,3868,24,car
6280,24,male,1,rent,little,Moderate,1768,12,furniture/equipment
4054,63,male,2,free,little,rich,781,10,car
3624,27,female,2,rent,little,moderate,1924,18,furniture/equipment
3494,30,male,2,own,little,little,2121,12,car
4764,40,male,1,own,little,little,701,12,radio/TV
1160,30,male,2,own,little,moderate,639,12,repairs
1779,34,male,3,own,little,moderate,1860,12,car
8080,29,female,2,own,little,little,3499,12,car
8891,24,female,2,own,Rich,moderate,8487,48,car
2075,29,male,2,own,little,little,6887,36,education
7850,27,male,1,own,little,Moderate,2708,15,furniture/equipment
2927,47,male,2,free,little,little,1984,18,furniture/equipment
6193,21,female,2,own,moderate,Rich,10144,60,radio/TV
4142,38,female,2,own,Rich,Rich,1240,12,radio/TV
7394,27,male,2,own,rich,Rich,8613,27,car
4239,66,male,1,own,quite rich,moderate,766,12,radio/TV
9414,35,male,2,own,Rich,moderate,2728,15,radio/TV
8610,44,female,1,rent,little,rich,1881,12,radio/TV
9957,27,male,0,own,rich,rich,709,6,car
3130,30,female,3,own,little,moderate,4795,36,radio/TV
7986,27,male,3,own,little,little,3416,27,radio/TV
9806,22,male,2,own,little,little,2462,18,furniture/equipment
1668,23,female,2,own,little,Rich,2288,21,furniture/equipment
2301,30,male,2,own,moderate,moderate,3566,48,business
8532,39,female,2,own,little,little,860,6,car
2108,51,female,2,own,moderate,Rich,682,12,car
7150,28,male,2,own,little,little,5371,36,furniture/equipment
7421,46,male,2,own,rich,Rich,1582,18,radio/TV
5149,42,male,2,free,moderate,little,1346,6,radio/TV
9728,38,male,2,own,little,Rich,1924,10,radio/TV
4241,24,male,2,own,little,rich,5848,36,radio/TV
1293,29,female,2,rent,rich,moderate,7758,24,car
8835,36,male,3,rent,moderate,moderate,6967,24,business
8151,20,female,2,rent,little,little,1282,12,furniture/equipment
4898,48,male,2,own,moderate,little,1288,9,repairs
2592,45,male,1,own,little,little,339,12,education
7352,38,male,2,own,moderate,moderate,3512,24,car
5110,34,male,1,own,Moderate,Moderate,1898,6,radio/TV
3138,36,male,2,own,moderate,Rich,2872,24,radio/TV
8122,30,female,2,own,little,Rich,1055,18,car
6231,36,male,2,own,quite rich,Rich,1262,15,domestic appliances
4212,70,male,3,free,little,moderate,7308,10,car
4426,36,male,2,own,quite rich,Rich,909,36,car
8883,32,male,2,own,quite rich,Rich,2978,6,furniture/equipment
7283,33,female,2,own,little,little,1131,18,furniture/equipment
3152,20,female,2,own,rich,moderate,1577,11,furniture/equipment
4403,25,female,2,rent,little,little,3972,24,furniture/equipment
5433,31,male,2,own,little,moderate,1935,24,business
5933,33,male,2,rent,little,little,950,15,car
3106,26,female,2,own,little,Rich,763,12,furniture/equipment
1047,34,female,3,own,little,moderate,2064,24,furniture/equipment
5634,33,male,2,own,little,moderate,1414,8,radio/TV
2875,26,male,2,own,little,little,3414,21,education
3528,53,female,3,own,Rich,Rich,7485,30,car
2962,42,male,2,own,little,little,2577,12,furniture/equipment
3831,52,male,2,own,quite rich,little,338,6,radio/TV
5706,31,male,3,rent,little,little,1963,12,radio/TV
2506,65,male,2,own,little,little,571,21,car
3523,28,male,2,own,little,Rich,9572,36,business
